obs_code,data_type,obs_lat,obs_lon,obs_post_name,obs_object
DT_0063,조위관측소,35.024178,128.810933,가덕도,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0032,조위관측소,37.731944,126.522222,강화대교,"조위,기압"
DT_0031,조위관측소,34.028333,127.308889,거문도,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0029,조위관측소,34.801389,128.699167,거제도,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0058,조위관측소,37.560833,126.601111,경인항,"조위,기온,기압,풍속,풍향"
DT_0026,조위관측소,34.481111,127.342778,고흥발포,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0049,조위관측소,34.903672,127.754836,광양,"조위,기온,기압,풍속,풍향"
DT_0018,조위관측소,35.975556,126.563056,군산,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0017,조위관측소,37.0075,126.352778,대산,"조위,수온,기온,기압,풍속,풍향"
DT_0065,조위관측소,37.226333,126.156556,덕적도,"기온,기압,풍속,풍향"
DT_0057,조위관측소,37.494722,129.143889,동해항,"조위,기온,기압,풍속,풍향"
DT_0062,조위관측소,35.1975,128.576389,마산,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0023,조위관측소,33.214444,126.251111,모슬포,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0007,조위관측소,34.779722,126.375556,목포,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0006,조위관측소,37.550278,129.116389,묵호,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0025,조위관측소,36.406389,126.486111,보령,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0005,조위관측소,35.096389,129.035278,부산,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0056,조위관측소,35.0775,128.786944,부산항신항,"조위,기온,기압,풍속,풍향"
DT_0061,조위관측소,34.924167,128.069722,삼천포,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0010,조위관측소,33.24,126.561667,서귀포,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0051,조위관측소,36.1288888888889,126.495277777778,서천마량,"조위,기온,기압,풍속,풍향"
DT_0022,조위관측소,33.474722,126.927778,성산포,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0012,조위관측소,38.207222,128.594167,속초,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0008,조위관측소,37.192222,126.647222,안산,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0067,조위관측소,36.6746388888889,126.129555555556,안흥,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0037,조위관측소,36.117222,125.984722,어청도,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0016,조위관측소,34.747222,127.765556,여수,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0092,조위관측소,34.661944,127.469167,여호항,"조위,기온,기압,풍속,풍향"
DT_0003,조위관측소,35.426111,126.420556,영광,"조위,기온,기압,풍속,풍향"
DT_0044,조위관측소,37.545556,126.584444,영종대교,"조위,기압"
DT_0043,조위관측소,37.2386111111111,126.428611111111,영흥도,"조위,기온,기압,풍속,풍향"
DT_0027,조위관측소,34.315556,126.759722,완도,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0013,조위관측소,37.491389,130.913611,울릉도,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0020,조위관측소,35.501944,129.387222,울산,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0068,조위관측소,35.6180844444444,126.301815833333,위도,"조위,기온,기압,풍속,풍향"
DT_0001,조위관측소,37.451944,126.592222,인천,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0052,조위관측소,37.3380555555556,126.586111111111,인천송도,"조위,기온,기압,풍속,풍향"
DT_0024,조위관측소,36.006944,126.6875,장항,"조위,기온,기압,풍속,풍향"
DT_0004,조위관측소,33.5275,126.543056,제주,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0028,조위관측소,34.377778,126.308611,진도,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0021,조위관측소,33.961944,126.300278,추자도,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0050,조위관측소,36.9130555555556,126.238888888889,태안,"조위,기온,기압,풍속,풍향"
DT_0014,조위관측소,34.827778,128.434722,통영,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0002,조위관측소,36.966944,126.822778,평택,"조위,수온,기온,기압,풍속,풍향"
DT_0091,조위관측소,36.047128,129.383806,포항,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0066,조위관측소,35.167667,126.359556,향화도,"조위,기온,기압,풍속,풍향"
DT_0011,조위관측소,36.6775,129.453056,후포,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0035,조위관측소,34.684167,125.435556,흑산도,"조위,수온,염분,기온,기압,풍속,풍향"
DT_0042,해양관측소,34.7047222222222,128.306388888889,교본초,"조위,기온,기압,풍속,풍향,파고"
DT_0041,해양관측소,34.0983333333333,126.168333333333,복사초,"조위,기온,기압,풍속,풍향,파고"
DT_0039,해양관측소,36.7191666666667,129.7325,왕돌초,실시간제공데이터 항목 없음
IE_0060,해양과학기지,32.1227777777778,125.182222222222,이어도,"조위,수온,염분,기온,기압,풍속,풍향,파고"
IE_0062,해양과학기지,37.423056,124.738056,옹진소청초,"조위,수온,기온,기압,풍속,풍향,파고"
IE_0061,해양과학기지,33.941944,124.592778,신안가거초,"조위,기온,기압,풍속,풍향,파고"
TW_0089,해양관측부이,37.808972,128.931889,경포대해수욕장,"수온,기온,기압,풍속,풍향,파고,유속,유향"
HB_0007,해양관측부이,37.019444,129.425,한수원_온양,실시간제공데이터 항목 없음
HB_0008,해양관측부이,37.1,129.404167,한수원_덕천,실시간제공데이터 항목 없음
HB_0009,해양관측부이,37.119167,129.395833,한수원_나곡,실시간제공데이터 항목 없음
TW_0079,해양관측부이,35.652472,126.19425,상왕등도,실시간제공데이터 항목 없음
TW_0080,해양관측부이,34.5430555555556,125.802777777778,우이도,"수온,기온,기압,풍속,풍향,파고,유속,유향"
TW_0081,해양관측부이,34.258722,126.960277,생일도,"수온,기온,기압,풍속,풍향,파고,유속,유향"
TW_0082,해양관측부이,37.006722,126.270222,태안항,"수온,유속,유향"
TW_0083,해양관측부이,34.794722,127.808055,여수항,"수온,유속,유향"
TW_0084,해양관측부이,34.773333,128.46,통영항,"수온,유속,유향"
TW_0092,해양관측부이,35.3025,129.2925,임랑해수욕장,"수온,기온,기압,풍속,풍향,파고,유속,유향"
SF_0001,해양관측부이,35.09175,129.08525,부산항,실시간제공데이터 항목 없음
TW_0078,해양관측부이,34.325083,126.763194,완도항,"수온,유속,유향"
TW_0087,해양관측부이,35.09175,129.08525,부산항,실시간제공데이터 항목 없음
TW_0090,해양관측부이,35.164722,129.219444,송정해수욕장,"수온,기온,기압,풍속,풍향,파고,유속,유향"
TW_0074,해양관측부이,34.859722,127.792777,광양항,"수온,유속,유향"
HB_0001,해양관측부이,35.182444,129.23525,한수원_기장,실시간제공데이터 항목 없음
HB_0002,해양관측부이,35.3185,129.314722,한수원_고리,실시간제공데이터 항목 없음
HB_0003,해양관측부이,35.384722,129.368056,한수원_진하,실시간제공데이터 항목 없음
TW_0062,해양관측부이,35.148972,129.170166,해운대해수욕장,"수온,기온,기압,풍속,풍향,파고,유속,유향"
TW_0069,해양관측부이,36.274111,126.457805,대천해수욕장,"수온,기온,기압,풍속,풍향,파고,유속,유향"
TW_0070,해양관측부이,37.136666,126.540833,평택당진항,"수온,유속,유향"
TW_0072,해양관측부이,35.984166,126.50875,군산항,"수온,유속,유향"
TW_0077,해양관측부이,37.523388,126.592083,경인항,"수온,유속,유향"
TW_0075,해양관측부이,33.2345,126.409555,중문해수욕장,"수온,기온,기압,풍속,풍향,파고,유속,유향"
TW_0076,해양관측부이,37.389444,126.533055,인천항,"수온,유속,유향"
TW_0088,해양관측부이,35.052805,129.003083,감천항,실시간제공데이터 항목 없음
TW_0085,해양관측부이,35.103194,128.631833,마산항,"수온,유속,유향"
TW_0091,해양관측부이,38.1225,128.650556,낙산해수욕장,"수온,기온,기압,풍속,풍향,파고,유속,유향"
TW_0086,해양관측부이,35.043777,128.76175,부산항신항,"수온,유속,유향"
SF_0005,해양관측부이,35.984166,126.50875,군산항,"수온,유속,유향"
TW_0093,해양관측부이,38.198611,128.631389,속초해수욕장,"수온,기온,기압,풍속,풍향,파고,유속,유향"
TW_0094,해양관측부이,37.593666,129.090091,망상해수욕장,"수온,기온,기압,풍속,풍향,파고,유속,유향"
KG_0021,해양관측부이,32.090416,126.965861,제주남부,"수온,기온,기압,풍속,풍향,파고,유속,유향"
KG_0024,해양관측부이,34.919,129.12125,대한해협,"수온,기온,기압,풍속,풍향,파고,유속,유향"
KG_0025,해양관측부이,34.222472,128.419027,남해동부,"수온,기온,기압,풍속,풍향,파고,유속,유향"
KG_0028,해양관측부이,33.7001111111111,126.5905,제주해협,"수온,기온,기압,풍속,풍향,파고,유속,유향"
KG_0101,해양관측부이,38.007361,131.552583,울릉도북동,"수온,기온,기압,풍속,풍향,파고,유속,유향"
KG_0102,해양관측부이,37.742722,130.601194,울릉도북서,실시간제공데이터 항목 없음
